City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oussouye,12.485,-16.5469,23.1,52,3,4.99,SN,1675204097
1,bambous virieux,-20.3428,57.7575,26.14,89,40,2.57,MU,1675204097
2,ostersund,63.1792,14.6357,-6.75,100,20,2.06,SE,1675204098
3,albany,42.6001,-73.9662,-3.21,57,86,0.89,US,1675204098
4,chokurdakh,70.6333,147.9167,-16.71,97,100,0.87,RU,1675204099
5,hilo,19.7297,-155.09,23.68,94,75,1.54,US,1675204099
6,ushuaia,-54.8,-68.3,12.81,58,40,2.06,AR,1675204099
7,thompson,55.7435,-97.8558,-27.91,63,75,3.09,CA,1675203825
8,mar del plata,-38.0023,-57.5575,23.94,86,75,7.2,AR,1675204100
9,sola,-13.8833,167.55,26.41,77,98,1.93,VU,1675204100
10,manoel urbano,-8.8389,-69.2597,26.21,86,94,1.73,BR,1675204068
11,ponta do sol,32.6667,-17.1,14.45,74,22,3.46,PT,1675203821
12,hobart,-42.8794,147.3294,18.92,61,40,4.63,AU,1675203999
13,marawi,7.9986,124.2928,19.4,93,17,0.82,PH,1675204101
14,parkes,-33.1333,148.1833,23.56,25,0,2.17,AU,1675203947
15,byron bay,-28.65,153.6167,24.84,89,57,2.17,AU,1675204102
16,busselton,-33.65,115.3333,13.95,76,0,7.49,AU,1675204102
17,dunedin,-45.8742,170.5036,18.22,99,100,1.34,NZ,1675204102
18,minas,-34.3759,-55.2377,25.31,60,39,6.61,UY,1675203929
19,saint george,37.1041,-113.5841,5.24,28,0,1.79,US,1675204104
20,atuona,-9.8,-139.0333,26.16,74,83,9.31,PF,1675204104
21,balykshi,47.0667,51.8667,-7.0,58,0,6.0,KZ,1675204105
22,khatanga,71.9667,102.5,-41.46,100,79,2.11,RU,1675204106
23,kapaa,22.0752,-159.319,26.18,83,75,4.12,US,1675203820
24,bredasdorp,-34.5322,20.0403,19.2,96,35,0.96,ZA,1675204106
25,victoria,22.2855,114.1577,19.97,85,94,2.68,HK,1675204105
26,tuktoyaktuk,69.4541,-133.0374,-37.0,67,20,2.06,CA,1675204107
27,abakaliki,6.3163,8.1169,29.28,57,51,5.1,NG,1675204107
28,ribeira grande,38.5167,-28.7,13.21,85,94,3.58,PT,1675203876
29,tjome,59.1109,10.3933,1.39,90,100,4.12,NO,1675204108
30,zapolyarnyy,69.4154,30.8136,-2.4,97,100,2.64,RU,1675204108
31,rikitea,-23.1203,-134.9692,26.33,72,15,5.73,PF,1675204108
32,cabo san lucas,22.8909,-109.9124,24.17,49,100,5.14,MX,1675204109
33,coihaique,-45.5752,-72.0662,22.97,23,0,4.12,CL,1675204080
34,saint-philippe,-21.3585,55.7679,25.77,87,100,4.19,RE,1675204110
35,yellowknife,62.456,-114.3525,-28.71,69,75,5.66,CA,1675203839
36,mataura,-46.1927,168.8643,16.27,99,100,0.45,NZ,1675204112
37,vaini,-21.2,-175.2,26.09,94,75,4.63,TO,1675204112
38,cape town,-33.9258,18.4232,21.06,81,20,7.2,ZA,1675203842
39,tawang,27.5833,91.8667,1.41,52,8,2.95,IN,1675204113
